subgrupo,grupo,qtde,km_por_retorno,data,tipo
Acendeu luz no painel,Elétrica,1,1173474,1-Jan-24,Retorno
Elevador,Elétrica,1,1173474,1-Jan-24,Retorno
Pane elétrica,Elétrica,1,1173474,1-Jan-24,Retorno
Validador,Elétrica,1,1173474,1-Jan-24,Retorno
Arrefecimento,Mecânica,1,1173474,1-Jan-24,Retorno
Amortecedor,Suspensão,1,1173474,1-Jan-24,Retorno
Suspensão a ar,Suspensão,1,1173474,1-Jan-24,Retorno
Tampa da vista,Carroceria,1,1173474,1-Jan-24,Retorno
Arrefecimento,Mecânica,1,1079052,1-Feb-24,Retorno
Motor,Mecânica,1,1079052,1-Feb-24,Retorno
Alternador,Elétrica,1,1079052,1-Feb-24,Retorno
Elevador,Elétrica,1,1079052,1-Feb-24,Retorno
Não vira,Elétrica,1,1079052,1-Feb-24,Retorno
Pane elétrica,Elétrica,1,1079052,1-Feb-24,Retorno
Arrefecimento,Mecânica,1,1079052,1-Feb-24,Socorro
Motor,Mecânica,1,1079052,1-Feb-24,Socorro
Alternador,Elétrica,1,1079052,1-Feb-24,Socorro
Elevador,Elétrica,1,1079052,1-Feb-24,Socorro
Não vira,Elétrica,1,1079052,1-Feb-24,Socorro
Pane elétrica,Elétrica,1,1079052,1-Feb-24,Socorro
Transmissão,Mecânica,1,1200571,1-Mar-24,Retorno
Cigarra,Elétrica,1,1200571,1-Mar-24,Retorno
Limpador,Elétrica,1,1200571,1-Mar-24,Retorno
Pane elétrica,Elétrica,1,1200571,1-Mar-24,Retorno
Seta/alerta,Elétrica,1,1200571,1-Mar-24,Retorno
Validador,Elétrica,1,1200571,1-Mar-24,Retorno
Alçapão,Carroceria,1,1200571,1-Mar-24,Retorno
Banco,Carroceria,1,1200571,1-Mar-24,Retorno
Porta do elevador,Carroceria,1,1200571,1-Mar-24,Retorno
Vazamento de água no teto,Carroceria,1,1200571,1-Mar-24,Retorno
Bolsa de ar,Suspensão,1,1200571,1-Mar-24,Retorno
Jumelo,Suspensão,1,1200571,1-Mar-24,Retorno
Mola quebrada,Suspensão,1,1200571,1-Mar-24,Retorno
Arrefecimento,Mecânica,1,1200571,1-Mar-24,Socorro
Transmissão,Mecânica,1,1200571,1-Mar-24,Socorro
Alternador,Elétrica,1,1200571,1-Mar-24,Socorro
Ar condicionado,Elétrica,1,1200571,1-Mar-24,Socorro
Bateria,Elétrica,1,1200571,1-Mar-24,Socorro
Iginição,Elétrica,1,1200571,1-Mar-24,Socorro
Garantia elétrica,Descartados,1,1200571,1-Mar-24,Socorro
Atolado,Descartados,1,1200571,1-Mar-24,Socorro
Direção,Mecânica,1,1189438,1-Apr-24,Retorno
Transmissão,Mecânica,1,1189438,1-Apr-24,Retorno
Ar condicionado,Elétrica,1,1189438,1-Apr-24,Retorno
Grampo,Suspensão,1,1189438,1-Apr-24,Retorno
Direção,Mecânica,1,1189438,1-Apr-24,Socorro
Transmissão,Mecânica,1,1189438,1-Apr-24,Socorro
Ar condicionado,Elétrica,1,1189438,1-Apr-24,Socorro
Grampo,Suspensão,1,1189438,1-Apr-24,Socorro
Cigarra,Elétrica,1,1205291,1-May-24,Retorno
